SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;L/Hr;L/100K;
1331 ;0:16.90 ;5866 ;14 ;95;34;68;0.758 ;27.6 ;28.5 ;0 ;13.4 ;3 ;3.90 ;51.5 ;0 ;0 ;8.4;29.4;
1331 ;0:17.00 ;5716 ;14 ;95;34;68;0.734 ;29.1 ;27.7 ;0 ;13.4 ;-4 ;3.92 ;49.4 ;0 ;0 ;8.4;29.4;
1331 ;0:17.10 ;5739 ;14 ;95;34;68;0.743 ;29.2 ;27.9 ;0 ;13.2 ;-4 ;3.92 ;49.8 ;0 ;0 ;8.5;29.1;
1331 ;0:17.20 ;5905 ;14 ;95;34;70;0.769 ;28.7 ;28.7 ;0 ;13.3 ;0 ;3.90 ;52.0 ;0 ;0 ;8.6;29.9;
1331 ;0:17.30 ;5334 ;13 ;95;34;72;0.783 ;26.9 ;25.9 ;0 ;13.5 ;-3 ;4.10 ;45.3 ;0 ;0 ;8.3;30.8;
1331 ;0:17.40 ;5196 ;14 ;95;34;74;0.785 ;25.4 ;25.2 ;0 ;13.3 ;0 ;4.02 ;42.0 ;0 ;0 ;7.9;31.1;
1331 ;0:17.50 ;5064 ;16 ;95;34;75;0.823 ;27.3 ;24.6 ;0 ;13.5 ;-9 ;3.82 ;38.7 ;0 ;0 ;7.3;26.7;
1331 ;0:17.60 ;5056 ;17 ;95;34;76;0.848 ;22.0 ;24.6 ;0 ;13.3 ;11 ;3.71 ;38.1 ;0 ;0 ;7.1;31.2;
1331 ;0:17.70 ;5103 ;17 ;95;34;76;0.835 ;21.6 ;24.8 ;0 ;13.2 ;14 ;3.71 ;38.3 ;0 ;0 ;7.1;32.8;
1331 ;0:17.80 ;4936 ;18 ;95;34;76;0.858 ;18.8 ;23.9 ;12 ;13.5 ;27 ;3.62 ;36.7 ;0 ;0 ;6.7;35.6;
1331 ;0:17.90 ;5043 ;19 ;95;34;77;0.840 ;18.3 ;24.5 ;18 ;13.5 ;33 ;3.65 ;36.9 ;0 ;0 ;6.9;36.8;
1331 ;0:18.00 ;4818 ;20 ;95;34;78;0.808 ;20.5 ;23.4 ;0 ;13.4 ;14 ;3.71 ;35.2 ;0 ;0 ;6.7;32.6;
1331 ;0:18.10 ;4768 ;20 ;95;34;78;0.745 ;17.8 ;23.1 ;14 ;13.4 ;29 ;3.71 ;34.9 ;0 ;0 ;6.6;37.0;
1331 ;0:18.20 ;4457 ;20 ;95;34;79;0.738 ;17.1 ;21.6 ;11 ;13.5 ;26 ;3.71 ;32.9 ;0 ;0 ;6.2;36.2;
1331 ;0:18.30 ;4553 ;19 ;95;34;79;0.780 ;18.2 ;22.1 ;6 ;13.6 ;21 ;3.66 ;33.7 ;0 ;0 ;6.2;37.5;
1331 ;0:18.40 ;3848 ;17 ;95;34;78;0.804 ;17.1 ;18.7 ;0 ;13.3 ;9 ;3.74 ;30.0 ;0 ;0 ;5.4;31.5;
1331 ;0:18.50 ;3732 ;9 ;94;34;76;0.801 ;16.4 ;18.1 ;0 ;13.6 ;10 ;4.07 ;25.1 ;0 ;0 ;5.7;34.7;
1331 ;0:18.60 ;3680 ;9 ;94;34;75;0.853 ;17.8 ;17.8 ;0 ;13.5 ;0 ;4.05 ;24.9 ;0 ;0 ;5.7;31.6;
1331 ;0:18.70 ;3994 ;9 ;94;34;73;1.081 ;18.0 ;19.4 ;0 ;13.5 ;7 ;4.18 ;25.9 ;0 ;0 ;6.4;39.0;
1331 ;0:18.80 ;4231 ;9 ;94;34;73;1.422 ;17.0 ;20.8 ;7 ;13.2 ;22 ;4.19 ;28.7 ;0 ;0 ;6.8;40.0;
