SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;SHIF A;
1361 ;31:20,30 ;5866 ;7 ;97;27;54;0,943 ;28,4 ;28,5 ;0 ;12,5 ;0 ;4,35 ;44,5 ;0 ;
1361 ;31:20,40 ;5866 ;7 ;97;27;54;0,943 ;28,4 ;28,5 ;0 ;12,5 ;0 ;4,35 ;44,5 ;0 ;
1361 ;31:20,50 ;6097 ;7 ;97;27;53;0,855 ;35,4 ;29,6 ;0 ;12,6 ;-16 ;4,33 ;46,6 ;0 ;
1361 ;31:20,60 ;6097 ;7 ;97;27;53;0,855 ;35,4 ;29,6 ;0 ;12,6 ;-16 ;4,33 ;46,6 ;0 ;
1361 ;31:20,70 ;6264 ;7 ;97;27;53;0,772 ;35,9 ;30,4 ;0 ;12,4 ;-15 ;4,29 ;47,3 ;0 ;
1361 ;31:20,80 ;6264 ;7 ;97;27;53;0,772 ;35,9 ;30,4 ;0 ;12,4 ;-15 ;4,29 ;47,3 ;0 ;
1361 ;31:20,90 ;6125 ;7 ;97;27;52;0,747 ;33,8 ;29,7 ;0 ;12,5 ;-12 ;4,32 ;46,7 ;0 ;
1361 ;31:21,00 ;6125 ;7 ;97;27;52;0,747 ;33,8 ;29,7 ;0 ;12,5 ;-12 ;4,32 ;46,7 ;0 ;
1361 ;31:21,10 ;6898 ;7 ;97;27;52;0,743 ;36,4 ;33,5 ;0 ;12,3 ;-7 ;4,14 ;50,2 ;0 ;
1361 ;31:21,20 ;6898 ;7 ;97;27;52;0,743 ;36,4 ;33,5 ;0 ;12,3 ;-7 ;4,14 ;50,2 ;0 ;
1361 ;31:21,30 ;7799 ;14 ;97;27;58;0,738 ;38,2 ;37,9 ;0 ;12,4 ;0 ;2,84 ;58,6 ;0 ;
1361 ;31:21,40 ;7799 ;14 ;97;27;58;0,738 ;38,2 ;37,9 ;0 ;12,4 ;0 ;2,84 ;58,6 ;0 ;
1361 ;31:21,50 ;7378 ;18 ;97;27;60;0,727 ;37,0 ;35,8 ;0 ;12,5 ;-3 ;3,03 ;54,7 ;0 ;
1361 ;31:21,60 ;7378 ;18 ;97;27;60;0,727 ;37,0 ;35,8 ;0 ;12,5 ;-3 ;3,03 ;54,7 ;0 ;
1361 ;31:21,70 ;7178 ;18 ;97;27;60;0,723 ;36,5 ;34,8 ;0 ;12,5 ;-4 ;3,07 ;53,6 ;0 ;
1361 ;31:21,80 ;7178 ;18 ;97;27;60;0,723 ;36,5 ;34,8 ;0 ;12,5 ;-4 ;3,07 ;53,6 ;0 ;
1361 ;31:21,90 ;7236 ;18 ;97;27;60;0,736 ;35,4 ;35,1 ;0 ;12,7 ;0 ;3,06 ;53,9 ;0 ;
1361 ;31:22,00 ;7236 ;18 ;97;27;60;0,736 ;35,4 ;35,1 ;0 ;12,7 ;0 ;3,06 ;53,9 ;0 ;
1361 ;31:22,10 ;7172 ;17 ;97;27;59;0,737 ;39,1 ;34,8 ;0 ;12,4 ;-10 ;3,04 ;54,2 ;0 ;
1361 ;31:22,20 ;7172 ;17 ;97;27;59;0,737 ;39,1 ;34,8 ;0 ;12,4 ;-10 ;3,04 ;54,2 ;0 ;
1361 ;31:22,30 ;7022 ;17 ;97;27;58;0,743 ;36,9 ;34,1 ;0 ;12,5 ;-7 ;3,06 ;53,5 ;0 ;
1361 ;31:22,40 ;7022 ;17 ;97;27;58;0,743 ;36,9 ;34,1 ;0 ;12,5 ;-7 ;3,06 ;53,5 ;0 ;
1361 ;31:22,50 ;6957 ;16 ;97;27;57;0,755 ;37,3 ;33,8 ;0 ;12,3 ;-9 ;3,07 ;53,7 ;0 ;
1361 ;31:22,60 ;6957 ;16 ;97;27;57;0,755 ;37,3 ;33,8 ;0 ;12,3 ;-9 ;3,07 ;53,7 ;0 ;
1361 ;31:22,70 ;7056 ;15 ;97;27;56;0,814 ;35,7 ;34,3 ;0 ;12,3 ;-3 ;3,01 ;54,9 ;0 ;
1361 ;31:22,80 ;7056 ;15 ;97;27;56;0,814 ;35,7 ;34,3 ;0 ;12,3 ;-3 ;3,01 ;54,9 ;0 ;
1361 ;31:22,90 ;7214 ;15 ;97;27;55;0,915 ;35,5 ;35,0 ;0 ;12,3 ;-1 ;2,98 ;55,6 ;0 ;
1361 ;31:23,00 ;7214 ;15 ;97;27;55;0,915 ;35,5 ;35,0 ;0 ;12,3 ;-1 ;2,98 ;55,6 ;0 ;
1361 ;31:23,10 ;7059 ;15 ;97;27;53;0,940 ;35,7 ;34,3 ;0 ;12,5 ;-3 ;3,01 ;54,9 ;0 ;
1361 ;31:23,20 ;7059 ;15 ;97;27;53;0,940 ;35,7 ;34,3 ;0 ;12,5 ;-3 ;3,01 ;54,9 ;0 ;
1361 ;31:23,30 ;7017 ;14 ;97;27;50;0,946 ;36,5 ;34,1 ;0 ;12,3 ;-6 ;2,98 ;55,3 ;0 ;
1361 ;31:23,40 ;7017 ;14 ;97;27;50;0,946 ;36,5 ;34,1 ;0 ;12,3 ;-6 ;2,98 ;55,3 ;0 ;
1361 ;31:23,50 ;7170 ;9 ;97;27;48;0,950 ;37,1 ;34,8 ;0 ;12,4 ;-6 ;3,65 ;56,6 ;0 ;
