SESSION; TIME;RPM;THROT;LAMB;TAR LB;INJ;INJ %;
399 ;2:03.19 ;7009 ;22 ;0.712 ;0.850 ;4.88 ;28 ;
399 ;2:03.20 ;6954 ;22 ;0.712 ;0.850 ;4.93 ;28 ;
399 ;2:03.21 ;6906 ;22 ;0.716 ;0.850 ;4.96 ;28 ;
399 ;2:03.22 ;6810 ;22 ;0.711 ;0.850 ;5.03 ;28 ;
399 ;2:03.23 ;6830 ;22 ;0.713 ;0.850 ;5.01 ;28 ;
399 ;2:03.24 ;6875 ;22 ;0.711 ;0.850 ;4.98 ;29 ;
399 ;2:03.25 ;6975 ;22 ;0.716 ;0.850 ;4.90 ;28 ;
399 ;2:03.26 ;6947 ;22 ;0.708 ;0.850 ;4.93 ;28 ;
399 ;2:03.27 ;6900 ;22 ;0.712 ;0.850 ;4.97 ;29 ;
399 ;2:03.28 ;6883 ;22 ;0.715 ;0.850 ;4.98 ;28 ;
399 ;2:03.29 ;6870 ;22 ;0.710 ;0.850 ;4.99 ;28 ;
399 ;2:03.30 ;6947 ;22 ;0.712 ;0.850 ;4.93 ;28 ;
399 ;2:03.31 ;6978 ;22 ;0.712 ;0.850 ;4.90 ;28 ;
399 ;2:03.32 ;7030 ;22 ;0.714 ;0.850 ;4.89 ;28 ;
399 ;2:03.33 ;6911 ;22 ;0.708 ;0.850 ;4.96 ;28 ;
399 ;2:03.34 ;6941 ;22 ;0.717 ;0.850 ;4.94 ;29 ;
399 ;2:03.35 ;6980 ;22 ;0.718 ;0.850 ;4.90 ;28 ;
399 ;2:03.36 ;6870 ;22 ;0.716 ;0.850 ;4.99 ;28 ;
399 ;2:03.37 ;6858 ;22 ;0.720 ;0.850 ;5.00 ;28 ;
399 ;2:03.38 ;6835 ;22 ;0.718 ;0.850 ;5.01 ;28 ;
399 ;2:03.39 ;6870 ;22 ;0.717 ;0.850 ;4.99 ;28 ;
399 ;2:03.40 ;6840 ;22 ;0.716 ;0.850 ;5.01 ;28 ;
