SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/100K;
147 ;1:20.30 ;5326 ;0 ;0.993 ;45.8 ;0.0 ;0.900 ;0 ;2.70 ;16.6 ;0 ;0 ;12 ;12.5;
147 ;1:20.40 ;5442 ;0 ;0.969 ;44.6 ;0.0 ;0.900 ;0 ;2.70 ;17.2 ;0 ;0 ;12 ;11.5;
147 ;1:20.50 ;5716 ;0 ;0.908 ;48.1 ;0.0 ;0.900 ;0 ;2.70 ;18.5 ;0 ;0 ;12 ;12.3;
147 ;1:20.60 ;6071 ;0 ;0.763 ;51.0 ;0.0 ;0.900 ;0 ;2.70 ;20.8 ;0 ;0 ;13 ;12.2;
147 ;1:20.70 ;5988 ;0 ;0.722 ;53.8 ;0.0 ;0.900 ;0 ;2.70 ;19.9 ;0 ;0 ;13 ;11.6;
147 ;1:20.80 ;6430 ;0 ;0.700 ;54.2 ;0.0 ;0.900 ;0 ;2.70 ;24.3 ;0 ;0 ;14 ;11.9;
147 ;1:20.90 ;6663 ;9 ;0.688 ;53.3 ;0.0 ;0.900 ;0 ;3.41 ;54.3 ;0 ;0 ;19 ;16.0;
147 ;1:21.00 ;6481 ;23 ;0.710 ;53.1 ;0.0 ;0.900 ;0 ;5.20 ;44.0 ;0 ;0 ;28 ;24.4;
147 ;1:21.10 ;6465 ;29 ;0.721 ;57.5 ;0.0 ;0.900 ;0 ;5.52 ;41.5 ;0 ;0 ;30 ;26.2;
147 ;1:21.20 ;6613 ;32 ;0.753 ;56.4 ;0.0 ;0.900 ;0 ;5.57 ;41.8 ;0 ;0 ;31 ;27.4;
147 ;1:21.30 ;6340 ;33 ;0.718 ;48.1 ;0.0 ;0.900 ;0 ;5.77 ;38.4 ;0 ;0 ;31 ;27.7;
